ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
12,"Opera Aesthetica Szerdahelyana / Szerdahely György Alajos 
esztétikai írásai",Szerdahely,György,Attila,Debreczeni,Debreceni Egyetem / Magyar Tudományos Akadémia Könyvtára,47.5316,21.6273,Debrecen,3054643,47.5316,21.6273,Hungary,https://unideb.hu,2013,"""LAT""",https://www.google.com/search?client=safari&rls=en&q=Max+Planck+Institute+for+the+History+of+Science&ie=UTF-8&oe=UTF-8,Modern,"Aesthetics, Philosophy of Art, Practical Philosophy",Print,yes,no,no,no,XML-TEI,no,no,,
13,Darwin Online: Online Variorum of Darwin’s Origin of Species,Darwin,Charles,Bordalejo,Barbara,University of Birmingham / University of Saskatchewan,52.4508,-1.93,Birmingham,2655603,52.4508,-1.93,United Kingdom,http://www.birmingham.ac.uk,2008,"""ENG""",http://darwin-online.org.uk/Variorum/,Modern,"Philosophy of Biology, Philosophy of Science, Philosophy of Nature",Printed book,partly,yes,no,no,XML-TEI,no,no,,
14,Darwin Correspondence Project,Darwin,Charles,Secord,James A.,University of Cambridge / American Council of Learned Societies,52.2043,0.1218,Cambridge,2655057,52.2043,0.1218,United Kingdom,http://www.cam.ac.uk,2002,"""ENG""",http://www.darwinproject.ac.uk/,Modern,"Philosophy of Biology, Philosophy of Science, Philosophy of Nature","Manuscript, Letter",no,yes,yes,no,XML-TEI,no,no,,
15,Kant – Opus Postumum Online Edition,Kant,Immanuel,Gerhardt,Volker,"Berlin-Brandenburgische Akademie der 
Wissenschaften (BBAW)",52.5186,13.4015,Berlin,2950159,52.5186,13.4015,Germany,https://www.bbaw.de,2013,"""GER""",https://telota.bbaw.de/kant_op/index.html,Modern,"Epistemology, Ethics, Aesthetics, Metaphysics, Practical Philosophy, Moral Philosophy",Manuscript,yes,yes,no,no,XML-TEI,no,yes,,
15,Kant – Opus Postumum Online Edition,Kant,Immanuel,Karl,Jacqueline,"Berlin-Brandenburgische Akademie der 
Wissenschaften (BBAW)",52.5186,13.4015,Berlin,2950159,52.5186,13.4015,Germany,https://www.bbaw.de,2013,"""GER""",https://telota.bbaw.de/kant_op/index.html,Modern,"Epistemology, Ethics, Aesthetics, Metaphysics, Practical Philosophy, Moral Philosophy",Manuscript,yes,yes,no,no,XML-TEI,no,yes,,
16,Nietzsche Source,Nietzsche,Friedrich,D'Iorio,Paolo,CNRS (Centre national de la recherche scientifique),48.847597,2.264004,Auteuil,6545275,48.84694,2.26366,France,http://www.cnrs.fr,not provided,"""GER""",http://www.nietzschesource.org/,Modern,"Practical Philosophy, Aesthetics, Metaphysics Moral Philosophy","Manuscript, Book, letter",yes,yes,no,no,XML-TEI,only image,yes,,
17,"
Walter Benjamin Digital — Writings and Literaty Estate. Volume 11: Berliner Chronik / Berliner Kindheit um neunzehnhundert Facsimiles of the manuscripts and transcriptions",Benjamin,Walter,Werner,Nadine,"""Hamburger Stiftung zur Förderung von 
Wissenschaft und Kultur""",53.551086,9.993682,Hamburg,2911298,53.551086,9.993682,,https://h-w-s.org/,2016,"""GER""",https://walter-benjamin.online/,Contemporary,"Aesthetics, Philosophy of History","Manuscript, letter, 
document (notes, Notes, 
work notes, archive 
materials)",yes,no,yes,no,XML-TEI,yes,yes,,
17,"
Walter Benjamin Digital — Writings and Literaty Estate. Volume 11: Berliner Chronik / Berliner Kindheit um neunzehnhundert Facsimiles of the manuscripts and transcriptions",Benjamin,Walter,Lindner,Burkhardt,"""Hamburger Stiftung zur Förderung von 
Wissenschaft und Kultur""",53.551086,9.993682,Hamburg,2911298,53.551086,9.993682,,https://h-w-s.org/,2016,"""GER""",https://walter-benjamin.online/,Contemporary,"Aesthetics, Philosophy of History","Manuscript, letter, 
document (notes, Notes, 
work notes, archive 
materials)",yes,no,yes,no,XML-TEI,yes,yes,,
18,"
davidhume.org",Hume,David,Merivale ,Henry,University of Oxford,51.754816,-1.254367,Oxford,2640729,51.754816,-1.254367,United Kingdom,https://www.ox.ac.uk/,2011,"""ENG""",https://davidhume.org/,Modern,"Epistemology, Ethics, Philosophy of Religion, Moral Philosophy, Practical Philosophy","Manuscript, Book, Letter",partial,yes,no,no,HTML/XML,no,not provided,,
18,"
davidhume.org",Hume,David,Millican ,Peter,University of Oxford,51.754816,-1.254367,Oxford,2640729,51.754816,-1.254367,United Kingdom,https://www.ox.ac.uk/,2011,"""ENG""",https://davidhume.org/,Modern,"Epistemology, Ethics, Philosophy of Religion, Moral Philosophy, Practical Philosophy","Manuscript, Book, Letter",partial,yes,no,no,HTML/XML,no,not provided,,
